"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ESM STAGE 
"
78,"INDBANK","Indbank Merchant Banking Services Limited","INE841B01017","ESM - I (34)"
79,"INDOTECH","Indo Tech Transformers Limited","INE332H01014","ESM - II (35)"
80,"INDOWIND","Indowind Energy Limited","INE227G01018","ESM - II (35)"
81,"INDSWFTLTD","Ind-Swift Limited","INE788B01028","ESM - II (35)"
82,"IZMO","Izmo Limited","INE848A01014","ESM - II (35)"
83,"JYOTISTRUC","Jyoti Structures Limited","INE197A01024","ESM - II (35)"
84,"KALYANIFRG","Kalyani Forge Limited","INE314G01014","ESM - II (35)"
85,"KAPSTON","Kapston Services Limited","INE542Z01010","ESM - I (34)"
86,"KARMAENG","Karma Energy Limited","INE725L01011","ESM - II (35)"
87,"KAUSHALYA","Kaushalya Infrastructure Development Corporation Limited","INE234I01010","ESM - II (35)"
88,"KAVVERITEL","Kavveri Telecom Products Limited","INE641C01019","ESM - I (34)"
89,"KCPSUGIND","Kcp Sugar And Industries Corporation Limited","INE790B01024","ESM - I (34)"
90,"KEEPLEARN","Dsj Keep Learning Limited","INE055C01020","ESM II & GSM 0 (37)"
91,"KEYFINSERV","Keynote Financial Services Limited","INE681C01015","ESM - I (34)"
92,"KILITCH","Kilitch Drugs (India) Limited","INE729D01010","ESM - II (35)"
93,"KOHINOOR","Kohinoor Foods Limited","INE080B01012","ESM - I (34)"
94,"KRIDHANINF","Kridhan Infra Limited","INE524L01026","ESM II & GSM 0 (37)"
95,"KRITIKA","Kritika Wires Limited","INE00Z501029","ESM - II (35)"
96,"KSHITIJPOL","Kshitij Polyline Limited","INE013801027","ESM - I (34)"
97,"LPDC","Landmark Property Development Company Limited","INE197J01017","ESM - I (34)"
98,"MACPOWER","Macpower Cnc Machines Limited","INE155Z01011","ESM - II (35)"
99,"MADHUCON","Madhucon Projects Limited","INE378D01032","ESM - II (35)"
100,"MANAKCOAT","Manaksia Coated Metals & Industries Limited","INE830Q01018","ESM - I (34)"
101,"MANUGRAPH","Manugraph India Limited","INE867A01022","ESM - II (35)"
102,"MASKINVEST","Mask Investments Limited","INE885F01015","ESM II & GSM 0 (37)"
103,"MBLINFRA","Mbl Infrastructure Limited","INE912H01013","ESM - I (34)"
104,"MEGASOFT","Megasoft Limited","INE933B01012","ESM - II (35)"
105,"MELSTAR","Melstar Information Technologies Limited","INE817A01019","ESM II & GSM 0 (37)"
106,"MIRCELECTR","Mirc Electronics Limited","INE831A01028","ESM - II (35)"
107,"MOKSH","Moksh Ornaments Limited","INE514Y01020","ESM - II (35)"
108,"MOTOGENFIN","The Motor & General Finance Limited","INE861B01023","ESM - II (35)"
109,"MSPL","Msp Steel & Power Limited","INE752G01015","ESM - II (35)"
110,"MUKTAARTS","Mukta Arts Limited","INE374B01019","ESM - I (34)"
111,"MURUDCERA","Murudeshwar Ceramics Limited","INE692B01014","ESM - I (34)"
112,"NAGREEKEXP","Nagreeka Exports Limited","INE123B01028","ESM - I (34)"
113,"NDGL","Naga Dhunseri Group Limited","INE756C01015","ESM - I (34)"
114,"NDRAUTO","Ndr Auto Components Limited","INE07OG01012","ESM - II (35)"
115,"NECCLTD","North Eastern Carrying Corporation Limited","INE553C01016","ESM - I (34)"
116,"NEXTMEDIA","Next Mediaworks Limited","INE747B01016","ESM I & GSM 0 (36)"
117,"NILAINFRA","Nila Infrastructures Limited","INE937C01029","ESM - I (34)"
118,"NIPPOBATRY","Indo-National Limited","INE567A01028","ESM - I (34)"
119,"NITCO","Nitco Limited","INE858F01012","ESM - I (34)"
120,"NKIND","Nk Industries Limited","INE542C01019","ESM - II (35)"
121,"NOIDATOLL","Noida Toll Bridge Company Limited","INE781B01015","ESM - II (35)"
122,"NORBTEAEXP","Norben Tea & Exports Limited","INE369C01017","ESM - II (35)"
123,"OMINFRAL","Om Infra Limited","INE239D01028","ESM - II (35)"
124,"ONELIFECAP","Onelife Capital Advisors Limited","INE912L01015","ESM - I (34)"
125,"PANACHE","Panache Digilife Limited","INE895W01019","ESM - II (35)"
126,"PARASPETRO","Paras Petrofils Limited","INE162C01024","ESM - II (35)"
127,"PARSVNATH","Parsvnath Developers Limited","INE561H01026","ESM - I (34)"
128,"PIONEEREMB","Pioneer Embroideries Limited","INE156C01018","ESM - I (34)"
129,"PLAZACABLE","Plaza Wires Limited","INE0INJ01017","ESM - I (34)"
130,"PODDARHOUS","Poddar Housing And Development Limited","INE888B01018","ESM - I (34)"
131,"PRAENG","Prajay Engineers Syndicate Limited","INE505C01016","ESM - II (35)"
132,"PRAKASHSTL","Prakash Steelage Limited","INE696K01024","ESM - I (34)"
133,"PRAXIS","Praxis Home Retail Limited","INE546Y01022","ESM II & GSM 0 (37)"
134,"PREMIERPOL","Premier Polyfilm Limited","INE309M01012","ESM - I (34)"
135,"PVP","Pvp Ventures Limited","INE362A01016","ESM - II (35)"
136,"QUINTEGRA","Quintegra Solutions Limited","INE033B01011","ESM I & GSM 0 (36)"
137,"RAJMET","Rajnandini Metal Limited","INE00KV01022","ESM - I (34)"
138,"RAJSREESUG","Rajshree Sugars & Chemicals Limited","INE562B01019","ESM - II (35)"
139,"REGENCERAM","Regency Ceramics Limited","INE277C01012","ESM II & GSM 0 (37)"
140,"REMSONSIND","Remsons Industries Limited","INE474C01015","ESM - II (35)"
141,"RKDL","Ravi Kumar Distilleries Limited","INE722J01012","ESM - II (35)"
142,"ROLLT","Rollatainers Limited","INE927A01040","ESM - II (35)"
143,"RPPINFRA","R.P.P. Infra Projects Limited","INE324L01013","ESM - II (35)"
144,"RUCHINFRA","Ruchi Infrastructure Limited","INE413B01023","ESM - II (35)"
145,"S&SPOWER","S&S Power Switchgears Limited","INE902B01017","ESM - II (35)"
146,"SABEVENTS","Sab Events & Governance Now Media Limited","INE860T01019","ESM - II (35)"
147,"SADBHAV","Sadbhav Engineering Limited","INE226H01026","ESM - II (35)"
148,"SADBHIN","Sadbhav Infrastructure Project Limited","INE764L01010","ESM II & GSM 0 (37)"
149,"SAKUMA","Sakuma Exports Limited","INE190H01024","ESM - I (34)"
150,"SARVESHWAR","Sarveshwar Foods Limited","INE324X01026","ESM - II (35)"
151,"SELMC","Sel Manufacturing Company Limited","INE105I01020","ESM - I (34)"
152,"SEMAC","Semac Consultants Limited","INE617A01013","ESM - II (35)"
153,"SETCO","Setco Automotive Limited","INE878E01021","ESM - II (35)"
154,"SEYAIND","Seya Industries Limited","INE573R01012","ESM - II (35)"
155,"SGL","Stl Global Limited","INE353H01010","ESM - I (34)"
156,"SHAHALLOYS","Shah Alloys Limited","INE640C01011","ESM - I (34)"
157,"SHIVAMAUTO","Shivam Autotech Limited","INE637H01024","ESM - I (34)"
158,"SHRADHA","Shradha Infraprojects Limited","INE715Y01023","ESM - I (34)"
159,"SHREERAMA","Shree Rama Multi-Tech Limited","INE879A01019","ESM - II (35)"
160,"SHREYANIND","Shreyans Industries Limited","INE231C01019","ESM - II (35)"
161,"SICALLOG","Sical Logistics Limited","INE075B01020","ESM - II (35)"
162,"SIGIND","Signet Industries Limited","INE529F01035","ESM - I (34)"
163,"SIMPLEXINF","Simplex Infrastructures Limited","INE059B01024","ESM - II (35)"
164,"SITINET","Siti Networks Limited","INE965H01011","ESM - II (35)"
165,"SKIL","Skil Infrastructure Limited","INE429F01012","ESM - I (34)"
166,"SOFTTECH","Softtech Engineers Limited","INE728Z01015","ESM - I (34)"
167,"SOMATEX","Soma Textiles & Industries Limited","INE314C01013","ESM - I (34)"
