ticker,price_change
NEOGEN,-0.00738
LAOPALA,-0.00735
BAJAJELEC,-0.00701
FINCABLES,-0.00686
IGPL,-0.0067
HONASA,-0.00658
SATIA,-0.00635
MAHLOG,-0.00622
ZFCVINDIA,-0.00622
MARSHALL,-0.00592
IFBAGRO,-0.00583
INSECTICID,-0.00578
APEX,-0.00577
SBCL,-0.00574
MTEDUCARE,-0.00569
ELIN,-0.00559
SHANTIGEAR,-0.00553
MOLDTECH,-0.00552
DMCC,-0.00497
RELAXO,-0.00478
CLEAN,-0.00462
LOYALTEX,-0.00453
BAJFINANCE,-0.00431
LGBBROSLTD,-0.00387
ASTRON,-0.00384
ASAHIINDIA,-0.00371
PSPPROJECT,-0.0035
SUKHJITS,-0.00329
PLAZACABLE,-0.00319
ICICIPRULI,-0.00271
MANALIPETC,-0.00248
GODREJAGRO,-0.00229
INDIANCARD,-0.00224
DCBBANK,-0.00219
RRKABEL,-0.00199
VINNY,-0.00198
VINYLINDIA,-0.00182
THYROCARE,-0.00132
AWL,-0.0013
SAHYADRI,-0.00115
CAMLINFINE,-0.00095
GALAXYSURF,-0.00087
DIAMINESQ,-0.00087
TCNSBRANDS,-0.00079
MAHESHWARI,-0.00072
JETAIRWAYS,-0.00056
SRHHYPOLTD,-0.00034
MMFL,-0.00031
VEDL,-0.0003
HINDZINC,-0.00025
CHOLAFIN,-0.0002
SHREYAS,-0.0001
SIGNPOST,0.0
BAJEL,0.0
AZAD,0.0
JSFB,0.0
PARKHOTELS,0.0
RPTECH,0.0
COMSYN,0.0
DOMS,0.0
EPACK,0.0
DIGIDRIVE,0.0
BLSE,0.0
JYOTICNC,0.0
NOVAAGRI,0.0
VSTL,0.0
MEDIASSIST,0.0
DAVANGERE,0.0
MODTHREAD,0.0
CAPITALSFB,0.0
ENTERO,0.0
KALYANI,0.0
NIRAJISPAT,0.0
PANACEABIO,5e-05
IEX,0.00025
FLUOROCHEM,0.00038
DICIND,0.00077
SUNCLAY,0.00085
DELTACORP,0.00095
HONAUT,0.00156
LUXIND,0.00198
MAHAPEXLTD,0.00205
BHARATRAS,0.00219
COROMANDEL,0.00233
WHIRLPOOL,0.00268
NACLIND,0.00287
DEEPENR,0.00292
DTIL,0.00346
GNA,0.00362
ANDHRSUGAR,0.00371
GESHIP,0.00383
RENUKA,0.00391
UDS,0.00404
ULTRACEMCO,0.00408
MANGCHEFER,0.00417
SHREEPUSHK,0.00451
PGHH,0.00457
ROUTE,0.00457
JAGSNPHARM,0.00461
UBL,0.00467
KPRMILL,0.00494
VALIANTLAB,0.00508
TTKPRESTIG,0.00523
VHL,0.00537
TNPL,0.00563
MANORG,0.00566
INDOCO,0.00568
VINEETLAB,0.00574
LOTUSEYE,0.00576
IRMENERGY,0.00583
MOTOGENFIN,0.00592
UTKARSHBNK,0.00593
FLEXITUFF,0.00609
OCCL,0.00616
DALMIASUG,0.00628
MADHAV,0.00689
CCL,0.00699
CELLO,0.00699
NAHARCAP,0.00743
HDFCLIFE,0.00751
SGL,0.00772
LALPATHLAB,0.00806
TEJASNET,0.00808
ROSSARI,0.00814
DEEPAKNTR,0.00817
LANDMARK,0.00819
LAURUSLABS,0.00831
TIMESGTY,0.0085
TEMBO,0.00868
NILKAMAL,0.0087
SANSERA,0.00893
ARE&M,0.009
MADRASFERT,0.00902
ASKAUTOLTD,0.00916
LT,0.00944
MANAKSIA,0.00951
DIGJAMLMTD,0.00969
