"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
135,"NGIL","Nakoda Group of Industries Limited","INE236Y01012","LTASM - I (13)"
136,"NINSYS","NINtec Systems Limited","INE395U01014","LTASM - I (13)"
137,"NITIRAJ","Nitiraj Engineers Limited","INE439T01012","LTASM - I (13)"
138,"NPST","Network People Services Technologies Limited","INE0FFK01017","LTASM - I (13)"
139,"NRBBEARING","NRB Bearing Limited","INE349A01021","LTASM - I (13)"
140,"NUCLEUS","Nucleus Software Exports Limited","INE096B01018","LTASM - I (13)"
141,"NURECA","Nureca Limited","INE0DSF01015","LTASM - I (13)"
142,"OMINFRAL","OM INFRA LIMITED","INE239D01028","LTASM - I (13)"
143,"ONDOOR","On Door Concepts Limited","INE00ER01015","LTASM - I (13)"
144,"ORCHPHARMA","Orchid Pharma Limited","INE191A01027","LTASM - I (13)"
145,"ORIANA","Oriana Power Limited","INE0OUT01019","LTASM - I (13)"
146,"ORIENTCER","ORIENT CERATECH LIMITED","INE569C01020","LTASM - I (13)"
147,"ORIENTLTD","Orient Press Limited","INE609C01024","LTASM - I (13)"
148,"PAISALO","Paisalo Digital Limited","INE420C01059","LTASM - I (13)"
149,"PALREDTEC","Palred Technologies Limited","INE218G01033","LTASM - I (13)"
150,"PANSARI","Pansari Developers Limited","INE697V01011","LTASM - I (13)"
151,"PAYTM","One 97 Communications Limited","INE982J01020","LTASM - I (13)"
152,"PCJEWELLER","PC Jeweller Limited","INE785M01013","LTASM - I (13)"
153,"PEARLPOLY","Pearl Polymers Limited","INE844A01013","LTASM - I (13)"
154,"PFS","PTC India Financial Services Limited","INE560K01014","LTASM - IV (16)"
155,"PGIL","Pearl Global Industries Limited","INE940H01022","LTASM - I (13)"
156,"PNC","Pritish Nandy Communications Limited","INE392B01011","LTASM - I (13)"
157,"POCL","Pondy Oxides & Chemicals Limited","INE063E01046","LTASM - I (13)"
158,"PPL","Prakash Pipes Limited","INE050001010","LTASM - I (13)"
159,"PRAKASH","Prakash Industries Limited","INE603A01013","LTASM - I (13)"
160,"PRESTIGE","Prestige Estates Projects Limited","INE811K01011","LTASM - I (13)"
161,"PURVA","Puravankara Limited","INE323I01011","LTASM - I (13)"
162,"QUICKHEAL","Quick Heal Technologies Limited","INE306L01010","LTASM - I (13)"
163,"RANEENGINE","Rane Engine Valve Limited","INE222J01013","LTASM - I (13)"
164,"RBZJEWEL","RBZ Jewellers Limited","INE0PEQ01016","LTASM - I (13)"
165,"REFEX","Refex Industries Limited","INE056I01017","LTASM - I (13)"
166,"ROCKINGDCE","Rockingdeals Circular Economy Limited","INE0PTR01012","LTASM - I (13)"
167,"RTNPOWER","RattanIndia Power Limited","INE399K01017","LTASM - IV (16)"
168,"SAKSOFT","Saksoft Limited","INE667G01023","LTASM - I (13)"
169,"SAKUMA","Sakuma Exports Limited","INE190H01024","LTASM - I (13)"
170,"SALASAR","Salasar Techno Engineering Limited","INE170V01027","LTASM - I (13)"
171,"SALZERELEC","Salzer Electronics Limited","INE457F01013","LTASM - I (13)"
172,"SANDUMA","Sandur Manganese & Iron Ores Limited","INE149K01016","LTASM - I (13)"
173,"SARVESHWAR","Sarveshwar Foods Limited","INE324X01026","LTASM - IV (16)"
174,"SCHNEIDER","Schneider Electric Infrastructure Limited","INE839M01018","LTASM - IV (16)"
175,"SECL","Salasar Exteriors and Contour Limited","INE00Y701026","LTASM - I (13)"
176,"SERVOTECH","Servotech Power Systems Limited","INE782X01033","LTASM - IV (16)"
177,"SGL","STL Global Limited","INE353H01010","LTASM - I (13)"
178,"SHAKTIPUMP","Shakti Pumps (India) Limited","INE908D01010","LTASM - IV (16)"
179,"SHANTHALA","Shanthala FMCG Products Limited","INE0Q9Q01017","LTASM - I (13)"
180,"SIGACHI","Sigachi Industries Limited","INE0D0K01022","LTASM - I (13)"
181,"SIGNATURE","Signatureglobal (India) Limited","INE903U01023","LTASM - I (13)"
182,"SIMBHALS","Simbhaoli Sugars Limited","INE748T01016","LTASM - I (13)"
