ticker,price_change
EMAMILTD,-0.01055
SONACOMS,-0.01039
STYLAMIND,-0.01038
DMART,-0.01012
RAIN,-0.00975
VEDL,-0.00955
AKZOINDIA,-0.00951
SYNGENE,-0.00925
GREENPLY,-0.00852
GRINDWELL,-0.0084
CIPLA,-0.00837
POWERINDIA,-0.00825
TATAPOWER,-0.0078
STOVEKRAFT,-0.00758
GSPL,-0.00732
HEIDELBERG,-0.00725
POLICYBZR,-0.00712
TIINDIA,-0.00659
CHEMPLASTS,-0.00653
FSL,-0.00604
M&MFIN,-0.00595
NEOGEN,-0.00571
SIEMENS,-0.00484
SFL,-0.00437
BALMLAWRIE,-0.00408
TEGA,-0.00394
DELHIVERY,-0.00312
GUJALKALI,-0.00252
PSPPROJECT,-0.00235
TCS,-0.00191
GODREJAGRO,-0.00175
MANALIPETC,-0.00174
CGCL,-0.00172
ADANIENT,-0.00172
INGERRAND,-0.00158
TRENT,-0.00157
TTKPRESTIG,-0.00144
MASFIN,-0.00107
SUDARSCHEM,-0.00099
INDIAMART,-0.00086
SKFINDIA,-0.00083
NAUKRI,-0.00077
KRBL,-0.00073
PRIVISCL,-0.00046
BAYERCROP,-0.00037
JMFINANCIL,-0.00017
ADANIENSOL,0.0
EPIGRAL,0.0
JINDWORLD,0.00023
EDELWEISS,0.00039
GOCOLORS,0.00064
JKPAPER,0.00115
MAXHEALTH,0.00127
3MINDIA,0.00132
PRINCEPIPE,0.00169
HCG,0.00184
SANOFI,0.0022
ICRA,0.00273
ASTRAL,0.00323
CHAMBLFERT,0.00346
ESCORTS,0.00371
CAPLIPOINT,0.00392
SHREECEM,0.00392
GANESHHOUC,0.00394
BAJFINANCE,0.004
SUBEXLTD,0.00405
BAJAJCON,0.00417
APCOTEXIND,0.00446
METROPOLIS,0.00457
APOLLOHOSP,0.00458
NH,0.00475
CUB,0.00494
AXISBANK,0.00513
SBILIFE,0.00521
AIAENG,0.00548
BEML,0.00559
RHIM,0.00565
MCDOWELL-N,0.00599
WOCKPHARMA,0.00621
RPOWER,0.00656
ROLEXRINGS,0.00663
HDFCLIFE,0.00704
SANSERA,0.00726
RUPA,0.00742
BAJAJFINSV,0.00743
GREENLAM,0.0075
DCMSHRIRAM,0.00766
MOLDTKPAC,0.00768
SBIN,0.00867
PCJEWELLER,0.00876
VGUARD,0.00884
TATAELXSI,0.00937
PGEL,0.00945
BRIGADE,0.00947
JPPOWER,0.00999
SAIL,0.01015
COROMANDEL,0.01037
NUVOCO,0.01042
MRF,0.01043
APTUS,0.01054
M&M,0.01057
GOODYEAR,0.01095
PGHL,0.01138
JKLAKSHMI,0.01146
SHANTIGEAR,0.01151
BRITANNIA,0.01153
FDC,0.01192
NLCINDIA,0.01212
DATAPATTNS,0.01244
HCC,0.0128
SIYSIL,0.01295
HCLTECH,0.01314
HIL,0.01318
MMFL,0.01322
AARTIDRUGS,0.01332
OBEROIRLTY,0.01338
FEDERALBNK,0.01404
TITAN,0.01422
OFSS,0.01464
PRAJIND,0.01519
ULTRACEMCO,0.01531
CANFINHOME,0.01538
UTIAMC,0.01539
ASHOKLEY,0.01546
BHARATFORG,0.0155
SOMANYCERA,0.01599
POLYMED,0.01612
EQUITASBNK,0.01637
JPASSOCIAT,0.01642
LAOPALA,0.017
CAMS,0.01706
ANURAS,0.01756
LATENTVIEW,0.01812
BLS,0.01835
VIJAYA,0.0184
JSWSTEEL,0.01862
CCL,0.01865
TIDEWATER,0.01872
MOTHERSON,0.01894
MGL,0.01904
BEL,0.0191
VSTTILLERS,0.01921
KPITTECH,0.01926
DIVISLAB,0.01936
UBL,0.01941
ITDCEM,0.01946
CASTROLIND,0.01967
SCHNEIDER,0.01978
CESC,0.01989
EXIDEIND,0.02039
GATI,0.02074
GMRINFRA,0.02081
RELINFRA,0.02081
PHOENIXLTD,0.02086
NATCOPHARM,0.02087
CUMMINSIND,0.0211
TTML,0.02129
TI,0.02133
MHRIL,0.02156
PRSMJOHNSN,0.02183
VRLLOG,0.02192
IOC,0.02269
AARTIPHARM,0.02271
CRISIL,0.02297
PEL,0.02345
HINDCOPPER,0.02364
MARUTI,0.02392
JTEKTINDIA,0.02394
CEATLTD,0.02395
DOLLAR,0.02448
CRAFTSMAN,0.02457
SHILPAMED,0.02496
LANDMARK,0.02496
ENDURANCE,0.02499
TATACOMM,0.02509
KPIL,0.02541
THYROCARE,0.02579
ISGEC,0.0259
IOLCP,0.02601
SAGCEM,0.02616
ELECON,0.0262
STARCEMENT,0.02624
RENUKA,0.02644
GRASIM,0.02704
FORTIS,0.02722
ARVINDFASN,0.0275
VENKEYS,0.02764
