SR. NO ,Symbol,COMPANY NAME ,ISIN ,ESM STAGE
81,LEXUS,Lexus Granito (India) Limited,INE500X01013,ESM - I (34)
82,SPENTEX,Spentex Industries Ltd,INE376C01020,ESM II & GSM 0 (37)
83,MIRCELECTR,MIRC Electronics Limited,INE831A01028,ESM - II (35)
84,WEWIN,We Win Limited,INE082W01014,ESM - I (34)
85,NIPPOBATRY,Indo-National Limited,INE567A01028,ESM - II (35)
86,RPPINFRA,R.P.P. Infra Projects Limited,INE324L01013,ESM - I (34)
87,TIL,TIL Limited,INE806C01018,ESM - II (35)
88,E2E,E2E Networks Limited,INE255Z01019,ESM - II (35)
89,JETAIRWAYS,Jet Airways (India) Limited,INE802G01018,ESM - II (35)
90,KRITINUT,Kriti Nutrients Limited,INE798K01010,ESM - II (35)
91,TIPSFILMS,Tips Films Limited,INE0LQS01015,ESM - I (34)
92,MSPL,MSP Steel & Power Limited,INE752G01015,ESM - II (35)
93,REMSONSIND,Remsons Industries Limited,INE474C01015,ESM - I (34)
94,MODISONLTD,MODISON LIMITED,INE737D01021,ESM - I (34)
95,KHAITANLTD,Khaitan (India) Limited,INE731C01018,ESM - I (34)
96,KARMAENG,Karma Energy Limited,INE725L01011,ESM - I (34)
97,SALSTEEL,S.A.L. Steel Limited,INE658G01014,ESM - I (34)
98,STEL,Stel Holdings Limited,INE577L01016,ESM - I (34)
99,NITIRAJ,Nitiraj Engineers Limited,INE439T01012,ESM - II (35)
100,AVONMORE,Avonmore Capital & Management Services Limited,INE323B01016,ESM - I (34)
101,BROOKS,Brooks Laboratories Limited,INE650L01011,ESM - II (35)
102,IL&FSENGG,IL&FS Engineering and Construction Company Limited,INE369I01014,ESM - II (35)
103,AIROLAM,Airo Lam limited,INE801L01010,ESM - I (34)
104,SARVESHWAR,SARVESHWAR FOODS LIMITED,INE324X01026,ESM - I (34)
105,MOTOGENFIN,The Motor & General Finance Limited,INE861B01023,ESM - I (34)
106,ELECTHERM,Electrotherm (India) Limited,INE822G01016,ESM - II (35)
107,SUPREMEENG,Supreme Engineering Limited,INE319Z01021,ESM II & GSM 0 (37)
108,GAYAHWS,Gayatri Highways Limited,INE287Z01012,ESM I & GSM 0 (36)
109,OMINFRAL,Om Infra Limited,INE239D01028,ESM - II (35)
110,YAARI,Yaari Digital Integrated Services Limited#,INE126M01010,ESM I & GSM 0 (36)
111,HISARMETAL,Hisar Metal Industries Limited,INE598C01011,ESM - I (34)
112,PANACHE,Panache Digilife Limited,INE895W01019,ESM - I (34)
113,TECHIN,Techindia Nirman Limited,INE778A01021,ESM - II (35)
114,TREJHARA,Trejhara Solutions Limited,INE00CA01015,ESM - II (35)
115,ONEPOINT,One Point One Solutions Limited,INE840Y01029,ESM - II (35)
116,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,ESM - I (34)
117,JISLDVREQS,Jain Irrigation Systems Limited,IN9175A01010,ESM - I (34)
118,HINDCON,Hindcon Chemicals Limited,INE642Y01011,ESM - I (34)
119,SAMBHAAV,Sambhaav Media Limited,INE699B01027,ESM - I (34)
120,NIRAJ,Niraj Cement Structurals Limited,INE368I01016,ESM - I (34)
121,PRITIKAUTO,Pritika Auto Industries Limited,INE583R01029,ESM - I (34)
122,PATINTLOG,Patel Integrated Logistics Limited,INE529D01014,ESM - I (34)
123,ANTGRAPHIC,Antarctica Limited,INE414B01021,ESM I & GSM 0 (36)
124,RHFL,Reliance Home Finance Limited,INE217K01011,ESM - II (35)
125,SUNDRMBRAK,Sundaram Brake Linings Limited,INE073D01013,ESM - II (35)
126,RMCL,Radha Madhav Corporation Limited,INE172H01014,ESM I & GSM 0 (36)
127,AGRITECH,AGRI-TECH (INDIA) LIMITED,INE449G01018,ESM - I (34)
128,SIMPLEXINF,SIMPLEX INFRASTRUCTURES LIMITED,INE059B01024,ESM - II (35)
129,PRAKASHSTL,Prakash Steelage Limited,INE696K01024,ESM - II (35)
130,BAGFILMS,B.A.G Films And Media Limited,INE116D01028,ESM - II (35)
131,UFO,UFO Moviez India Limited,INE527H01019,ESM - I (34)
132,KOTARISUG,Kothari Sugars And Chemicals Limited,INE419A01022,ESM - I (34)
133,MEGASOFT,Megasoft Limited,INE933B01012,ESM - I (34)
134,PANSARI,Pansari Developers Limited,INE697V01011,ESM - I (34)
135,FLEXITUFF,Flexituff Ventures International Limited,INE060J01017,ESM - II (35)
136,CINELINE,Cineline India Limited,INE704H01022,ESM - I (34)
137,VIJIFIN,Viji Finance Limited,INE159N01027,ESM I & GSM 0 (36)
138,CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027,ESM - I (34)
139,AUTOIND,Autoline Industries Limited,INE718H01014,ESM - II (35)
140,RKDL,Ravi Kumar Distilleries Limited,INE722J01012,ESM - II (35)
141,RVHL,RAVINDER HEIGHTS LIMITED,INE09E501017,ESM - I (34)
142,A2ZINFRA,A2Z INFRA ENGINEERING LIMITED,INE619I01012,ESM - I (34)
143,BHANDARI,BHANDARI HOSIERY EXPORTS LIMITED,INE474E01029,ESM - I (34)
144,JBFIND,JBF INDUSTRIES LTD,INE187A01017,ESM I & GSM 0 (36)
145,WEL,Wonder Electricals Limited,INE02WG01016,ESM - I (34)
146,DIL,Debock Industries Limited,INE411Y01011,ESM - I (34)
147,KALYANIFRG,Kalyani Forge Limited,INE314G01014,ESM - I (34)
148,MANUGRAPH,Manugraph India Limited,INE867A01022,ESM - I (34)
149,HPIL,Hindprakash Industries Limited,INE05X901010,ESM - I (34)
150,RAJSREESUG,Rajshree Sugars & Chemicals Limited,INE562B01019,ESM - I (34)
151,FMNL,Future Market Networks Limited,INE360L01017,ESM - I (34)
152,DOLPHIN,Dolphin Offshore Enterprises (India) Limited,INE920A01029,ESM - II (35)
153,DELTAMAGNT,Delta Manufacturing Limited,INE393A01011,ESM - I (34)
154,CENTEXT,Century Extrusions Limited,INE281A01026,ESM - I (34)
155,CYBERMEDIA,Cyber Media (India) Limited,INE278G01037,ESM - I (34)
156,BHAGYANGR,Bhagyanagar India Limited,INE458B01036,ESM - II (35)
157,UMESLTD,Usha Martin Education & Solutions Limited,INE240C01028,ESM II & GSM 0 (37)
158,GTL,GTL Limited,INE043A01012,ESM - I (34)
159,AARTECH,Aartech Solonics Limited,INE01C001018,ESM - I (34)
160,MANAKCOAT,Manaksia Coated Metals & Industries Limited,INE830Q01018,ESM - I (34)
161,SHIVAMAUTO,Shivam Autotech Limited,INE637H01024,ESM - I (34)
162,NILAINFRA,Nila Infrastructures Limited,INE937C01029,ESM - I (34)
